Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2026,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7299,0,8571,0,0,0,3956,0,256,0,0,0,222,563,2695,0,226,698
MSitAE-JUNE-2026,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816
MSitAE-JUNE-2026,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,15532,0,5037,265,0,426,5702,0,124,61,0,8,514,762,3902,0,35,1506
MSitAE-JUNE-2026,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,13391,0,4667,1382,0,120,6293,0,5,614,0,0,1128,256,3198,0,0,1944
MSitAE-JUNE-2026,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10541,0,7138,0,0,0,4288,0,168,0,0,0,160,80,2116,0,0,269
MSitAE-JUNE-2026,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,15729,549,8487,718,0,496,7951,0,107,378,0,11,959,909,4768,0,0,1163
MSitAE-JUNE-2026,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4654,0,0,85,0,87,2335,0,0,0,0,0,227,389,816,0,0,182
MSitAE-JUNE-2026,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8899,121,8611,0,0,0,5786,11,103,0,0,0,789,322,3107,0,0,1681
MSitAE-JUNE-2026,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,13134,2571,6114,0,0,0,5216,59,134,0,0,0,39,18,856,30,36,371
MSitAE-JUNE-2026,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,7808,0,4553,0,0,0,3579,0,721,0,0,0,682,422,2590,0,0,1401
MSitAE-JUNE-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4816,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,6415,0,0,0,0,0,311,0,0,0,0,0,0,0,6,0,243
MSitAE-JUNE-2026,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,19056,843,10524,60,0,422,6989,0,147,14,0,0,1471,452,3597,0,0,1261
MSitAE-JUNE-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13518,0,0,555,0,0,3339,0,0,0,0,0,356,153,1469,0,0,460
MSitAE-JUNE-2026,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7724,0,9906,0,0,2061,3734,0,475,0,0,41,129,3,2371,0,410,2470
MSitAE-JUNE-2026,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9213,0,2958,137,0,2124,4213,0,69,16,0,34,800,703,3199,0,16,935
MSitAE-JUNE-2026,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,15007,0,6619,0,0,0,6701,0,116,0,0,0,1320,689,3189,0,0,887
MSitAE-JUNE-2026,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8798,0,9468,376,0,396,4019,0,163,157,0,0,833,313,1826,0,0,2506
MSitAE-JUNE-2026,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1307,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,3016,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2839,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,28237,3491,12217,3168,515,677,11424,139,292,1167,30,28,3584,103,5831,115,101,446
MSitAE-JUNE-2026,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4248,241,1691,22,0,14,1410,0,58,6,0,0,272,251,1410,0,0,82
MSitAE-JUNE-2026,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28151,0,8006,10,0,6,9496,0,262,3,0,1,1708,1086,8934,0,183,1137
MSitAE-JUNE-2026,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,26821,529,17155,229,4,260,7942,10,821,63,0,11,906,1778,6270,1,144,759
MSitAE-JUNE-2026,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4896,0,0,513,0,4644,2345,0,0,168,0,10,220,61,1925,0,0,511
MSitAE-JUNE-2026,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,9978,0,4385,37,0,143,2285,0,143,6,0,0,771,94,4460,0,0,855
MSitAE-JUNE-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6141,0,0,0,0,0,1097,0,0,0,0,0,1,0,831,0,0,256
