date,metric,value,source
2011-08-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,0.9999999999999998,NHS England A&E
2011-08-01,emergency_admissions_via_type_1_ae,289883.57142857125,NHS England A&E
2011-08-01,emergency_admissions_via_type_2_ae,2844.0000000000014,NHS England A&E
2011-08-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,4990.2857142857165,NHS England A&E
2011-08-01,type_2_departments_single_specialty,51890.28571428572,NHS England A&E
2011-08-01,operational_standard_performance,0.95,NHS England A&E
2011-08-01,total_emergency_admissions_via_ae,295952.5714285715,NHS England A&E
2011-08-01,other_emergency_admissions_ie_not_via_ae,114601.71428571433,NHS England A&E
2011-08-01,emergency_admissions_via_type_3_and_4_ae,3225.0000000000014,NHS England A&E
2011-08-01,type_1_departments_major_ae,1135801.4285714286,NHS England A&E
2011-08-01,type_3_departments_other_ae_minor_injury_unit,570416.5714285715,NHS England A&E
2011-09-01,total_emergency_admissions,410760.8571428571,NHS England A&E
2011-09-01,type_2_departments_single_specialty,52329.285714285696,NHS England A&E
2011-09-01,type_1_departments_major_ae,1162142.857142857,NHS England A&E
2011-09-01,emergency_admissions_via_type_2_ae,3170.857142857142,NHS England A&E
2011-09-01,other_emergency_admissions_ie_not_via_ae,113465.99999999999,NHS England A&E
2011-09-01,total_emergency_admissions_via_ae,297294.8571428572,NHS England A&E
2011-09-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,9.285714285714286,NHS England A&E
2011-09-01,operational_standard_performance,0.95,NHS England A&E
2011-09-01,emergency_admissions_via_type_3_and_4_ae,3073.857142857144,NHS England A&E
2011-09-01,type_3_departments_other_ae_minor_injury_unit,566738.4285714285,NHS England A&E
2011-09-01,emergency_admissions_via_type_1_ae,291050.1428571427,NHS England A&E
2011-09-01,total_attendances,1781210.5714285718,NHS England A&E
2011-09-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,7459.714285714285,NHS England A&E
2011-10-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,9078.142857142857,NHS England A&E
2011-10-01,emergency_admissions_via_type_2_ae,2176.9999999999995,NHS England A&E
2011-10-01,operational_standard_performance,0.95,NHS England A&E
2011-10-01,type_2_departments_single_specialty,54447.28571428574,NHS England A&E
2011-10-01,type_3_departments_other_ae_minor_injury_unit,593757.2857142858,NHS England A&E
2011-10-01,total_emergency_admissions,435080.1428571428,NHS England A&E
2011-10-01,emergency_admissions_via_type_3_and_4_ae,4081.714285714285,NHS England A&E
2011-10-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,41.57142857142856,NHS England A&E
2011-10-01,total_emergency_admissions_via_ae,312210.85714285704,NHS England A&E
2011-10-01,type_1_departments_major_ae,1200707.8571428573,NHS England A&E
2011-10-01,other_emergency_admissions_ie_not_via_ae,122869.2857142857,NHS England A&E
2011-10-01,total_attendances,1848912.4285714284,NHS England A&E
2011-10-01,emergency_admissions_via_type_1_ae,305952.14285714296,NHS England A&E
2011-11-01,total_attendances,1741440.8571428573,NHS England A&E
2011-11-01,type_2_departments_single_specialty,51772.42857142857,NHS England A&E
2011-11-01,emergency_admissions_via_type_2_ae,2987.0000000000005,NHS England A&E
2011-11-01,total_emergency_admissions,424886.99999999977,NHS England A&E
2011-11-01,type_3_departments_other_ae_minor_injury_unit,554709.0000000001,NHS England A&E
2011-11-01,total_emergency_admissions_via_ae,304188.1428571427,NHS England A&E
2011-11-01,emergency_admissions_via_type_1_ae,296725.7142857144,NHS England A&E
2011-11-01,emergency_admissions_via_type_3_and_4_ae,4475.428571428571,NHS England A&E
2011-11-01,other_emergency_admissions_ie_not_via_ae,120698.85714285716,NHS England A&E
2011-11-01,operational_standard_performance,0.95,NHS England A&E
2011-11-01,type_1_departments_major_ae,1134959.4285714277,NHS England A&E
2011-11-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,28.14285714285715,NHS England A&E
2011-11-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,8940.714285714283,NHS England A&E
2011-12-01,total_emergency_admissions,441655.2857142858,NHS England A&E
2011-12-01,total_attendances,1732045.8571428566,NHS England A&E
2011-12-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,3.999999999999999,NHS England A&E
2011-12-01,type_1_departments_major_ae,1141606.4285714282,NHS England A&E
2011-12-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,10945.85714285714,NHS England A&E
2011-12-01,emergency_admissions_via_type_3_and_4_ae,4230.571428571429,NHS England A&E
2011-12-01,operational_standard_performance,0.95,NHS England A&E
2011-12-01,type_3_departments_other_ae_minor_injury_unit,542478.5714285712,NHS England A&E
2011-12-01,emergency_admissions_via_type_1_ae,313713.5714285714,NHS England A&E
2011-12-01,emergency_admissions_via_type_2_ae,3073.142857142857,NHS England A&E
2011-12-01,other_emergency_admissions_ie_not_via_ae,120637.99999999993,NHS England A&E
2011-12-01,type_2_departments_single_specialty,47960.857142857145,NHS England A&E
2011-12-01,total_emergency_admissions_via_ae,321017.28571428574,NHS England A&E
2012-01-01,total_emergency_admissions_via_ae,315248.00000000006,NHS England A&E
2012-01-01,emergency_admissions_via_type_1_ae,307650.8571428572,NHS England A&E
2012-01-01,emergency_admissions_via_type_2_ae,3174.0,NHS England A&E
2012-01-01,type_3_departments_other_ae_minor_injury_unit,547995.2857142857,NHS England A&E
2012-01-01,other_emergency_admissions_ie_not_via_ae,120950.85714285713,NHS England A&E
2012-01-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,8.000000000000002,NHS England A&E
2012-01-01,total_emergency_admissions,436198.8571428573,NHS England A&E
2012-01-01,operational_standard_performance,0.95,NHS England A&E
2012-01-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,14146.571428571431,NHS England A&E
2012-01-01,total_attendances,1737518.0,NHS England A&E
2012-01-01,type_1_departments_major_ae,1137915.5714285711,NHS England A&E
2012-01-01,type_2_departments_single_specialty,51607.14285714283,NHS England A&E
2012-01-01,emergency_admissions_via_type_3_and_4_ae,4423.142857142856,NHS England A&E
2012-02-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,15698.428571428578,NHS England A&E
2012-02-01,type_1_departments_major_ae,1120423.0000000002,NHS England A&E
2012-02-01,total_attendances,1704231.714285714,NHS England A&E
2012-02-01,emergency_admissions_via_type_3_and_4_ae,4261.142857142858,NHS England A&E
2012-02-01,total_emergency_admissions_via_ae,303897.8571428574,NHS England A&E
2012-02-01,total_emergency_admissions,420552.5714285715,NHS England A&E
2012-02-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,6.000000000000001,NHS England A&E
2012-02-01,emergency_admissions_via_type_1_ae,296576.7142857143,NHS England A&E
2012-02-01,other_emergency_admissions_ie_not_via_ae,116654.71428571429,NHS England A&E
2012-02-01,type_2_departments_single_specialty,51155.57142857144,NHS England A&E
2012-02-01,emergency_admissions_via_type_2_ae,3059.9999999999995,NHS England A&E
2012-02-01,operational_standard_performance,0.95,NHS England A&E
2012-02-01,type_3_departments_other_ae_minor_injury_unit,532653.1428571428,NHS England A&E
