metric,raw_metric_name,quarter,type,value,ci_lower,ci_upper
Bed occupancy (level),total_occupied_beds_overnight,2015-10-01,history,113668.100038,,
Bed occupancy (level),total_occupied_beds_overnight,2016-01-01,history,117125.152705,,
Bed occupancy (level),total_occupied_beds_overnight,2016-04-01,history,115842.215354,,
Bed occupancy (level),total_occupied_beds_overnight,2016-07-01,history,113798.445676,,
Bed occupancy (level),total_occupied_beds_overnight,2016-10-01,history,114438.397869,,
Bed occupancy (level),total_occupied_beds_overnight,2017-01-01,history,116545.05554,,
Bed occupancy (level),total_occupied_beds_overnight,2017-04-01,history,113618.172484,,
Bed occupancy (level),total_occupied_beds_overnight,2017-07-01,history,111687.779826,,
Bed occupancy (level),total_occupied_beds_overnight,2017-10-01,history,113328.412004,,
Bed occupancy (level),total_occupied_beds_overnight,2018-01-01,history,117143.999957,,
Bed occupancy (level),total_occupied_beds_overnight,2018-04-01,history,112886.98898,,
Bed occupancy (level),total_occupied_beds_overnight,2018-07-01,history,111004.141303,,
Bed occupancy (level),total_occupied_beds_overnight,2018-10-01,history,112208.597871,,
Bed occupancy (level),total_occupied_beds_overnight,2019-01-01,history,115874.36664,,
Bed occupancy (level),total_occupied_beds_overnight,2019-04-01,history,113261.846098,,
Bed occupancy (level),total_occupied_beds_overnight,2019-07-01,history,111938.065227,,
Bed occupancy (level),total_occupied_beds_overnight,2019-10-01,history,114757.18482,,
Bed occupancy (level),total_occupied_beds_overnight,2020-01-01,history,111321.280756,,
Bed occupancy (level),total_occupied_beds_overnight,2020-04-01,history,76641.153785,,
Bed occupancy (level),total_occupied_beds_overnight,2020-07-01,history,93090.619606,,
Bed occupancy (level),total_occupied_beds_overnight,2020-10-01,history,98597.184808,,
Bed occupancy (level),total_occupied_beds_overnight,2021-01-01,history,98927.255525,,
Bed occupancy (level),total_occupied_beds_overnight,2021-04-01,history,103804.065869,,
Bed occupancy (level),total_occupied_beds_overnight,2021-07-01,history,107068.706563,,
Bed occupancy (level),total_occupied_beds_overnight,2021-10-01,history,109451.086996,,
Bed occupancy (level),total_occupied_beds_overnight,2022-01-01,history,111943.57773,,
Bed occupancy (level),total_occupied_beds_overnight,2022-04-01,history,113735.714235,,
Bed occupancy (level),total_occupied_beds_overnight,2022-07-01,history,113513.673946,,
Bed occupancy (level),total_occupied_beds_overnight,2022-10-01,history,116499.858735,,
Bed occupancy (level),total_occupied_beds_overnight,2023-01-01,history,117597.533309,,
Bed occupancy (level),total_occupied_beds_overnight,2023-04-01,history,115238.637294,,
Bed occupancy (level),total_occupied_beds_overnight,2023-07-01,history,113493.076134,,
Bed occupancy (level),total_occupied_beds_overnight,2023-10-01,history,116831.500051,,
Bed occupancy (level),total_occupied_beds_overnight,2024-01-01,history,119634.891405,,
Bed occupancy (level),total_occupied_beds_overnight,2024-04-01,history,117314.868073,,
Bed occupancy (level),total_occupied_beds_overnight,2024-06-30,forecast,100124.6881333222,94426.45353222558,105822.92273441883
Bed occupancy (level),total_occupied_beds_overnight,2024-09-30,forecast,102133.55937842287,91708.7163160979,112558.40244074783
Bed occupancy (level),total_occupied_beds_overnight,2024-12-31,forecast,103591.11632793798,89993.88027868609,117188.35237718989
Bed occupancy (level),total_occupied_beds_overnight,2025-03-31,forecast,102272.423766749,86114.07287675884,118430.77465673914
Bed occupancy (level),total_occupied_beds_overnight,2025-06-30,forecast,101597.74613240841,81896.18238597276,121299.30987884408
Bed occupancy (level),total_occupied_beds_overnight,2025-09-30,forecast,103428.82001166185,80029.41710757007,126828.22291575365
Bed occupancy (level),total_occupied_beds_overnight,2025-12-31,forecast,104854.43574867288,78266.60961562525,131442.2618817205
Bed occupancy (level),total_occupied_beds_overnight,2026-03-31,forecast,104197.0321993362,74764.17741604477,133629.88698262762
Bed occupancy (level),total_occupied_beds_overnight,2026-06-30,forecast,104035.42724743347,71206.35333250489,136864.50116236205
Bed occupancy (level),total_occupied_beds_overnight,2026-09-30,forecast,105773.33680220171,69442.88479455441,141770.83592975
Bed occupancy (level),total_occupied_beds_overnight,2026-12-31,forecast,107215.76113160825,67692.91467480452,141770.83592975
